well_id,latitude,longitude,depth_m,water_level_m,well_type,nearby_village_id,nearby_village,state,tribal_belt
WELL-001,23.50148,84.90314,26.7,15.7,open well,VIL-001,Hesatu,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-002,23.46295,85.02051,24.3,15.6,handpump,VIL-003,Kulhi,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-003,23.43,84.93518,26.9,18.9,borewell,VIL-005,Toto,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-004,23.47717,84.92297,28.9,16.7,handpump,VIL-007,Ambatoli,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-005,23.43837,84.92036,22.7,16.1,handpump,VIL-009,Puto,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-006,23.51823,84.94475,23.7,15.4,handpump,VIL-011,Chirgora,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-007,23.52386,84.91243,10.6,8.1,open well,VIL-001,Hesatu,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-008,23.46589,85.00432,13.0,8.1,handpump,VIL-003,Kulhi,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-009,23.4315,84.94309,44.7,22.0,borewell,VIL-005,Toto,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-010,23.48302,84.92939,32.5,18.5,handpump,VIL-007,Ambatoli,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-011,23.43965,84.90585,44.7,22.2,open well,VIL-009,Puto,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-012,23.53047,84.94834,8.1,2.5,borewell,VIL-011,Chirgora,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-013,23.51111,84.90726,23.7,11.6,open well,VIL-001,Hesatu,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-014,23.46494,85.00831,18.2,14.0,handpump,VIL-003,Kulhi,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-015,23.43437,84.93377,32.4,19.7,open well,VIL-005,Toto,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
WELL-016,22.91378,78.60961,27.0,14.1,handpump,VIL-013,Mandla,Madhya Pradesh,Madhya Pradesh Tribal Belt
WELL-017,22.95488,78.63917,31.7,15.9,open well,VIL-015,Kukshi,Madhya Pradesh,Madhya Pradesh Tribal Belt
WELL-018,22.90095,78.70611,32.8,12.1,borewell,VIL-017,Jhabua,Madhya Pradesh,Madhya Pradesh Tribal Belt
WELL-019,22.92362,78.68999,26.4,15.5,handpump,VIL-019,Seoni,Madhya Pradesh,Madhya Pradesh Tribal Belt
WELL-020,22.96764,78.54369,36.0,28.5,handpump,VIL-021,Anuppur,Madhya Pradesh,Madhya Pradesh Tribal Belt
WELL-021,22.90331,78.47521,10.0,7.7,handpump,VIL-023,Shahdol,Madhya Pradesh,Madhya Pradesh Tribal Belt
WELL-022,22.92988,78.62302,21.7,11.9,borewell,VIL-013,Mandla,Madhya Pradesh,Madhya Pradesh Tribal Belt
