elevation_m,slope_deg,annual_rainfall_mm,soil_moisture_index,land_use,geology,distance_to_stream_m,lineament_density_index,groundwater_depth_m,recharge_suitability
1023.6,28.0,2447,0.76,forest,weathered_granite,911,0.88,10.8,70.8
656.3,16.4,1688,0.87,forest,weathered_granite,502,0.62,9.9,72.7
368.9,10.0,784,0.56,agriculture,weathered_granite,1291,0.29,29.1,44.9
567.6,5.1,835,0.49,agroforestry,fractured_rock,1062,0.06,25.8,51.6
645.7,9.5,811,0.62,agriculture,clay,1245,0.86,23.4,49.7
755.6,27.1,2629,0.86,forest,fractured_rock,67,0.36,17.2,82.5
1270.9,14.7,2305,0.87,grassland,sandstone,227,0.21,16.5,68.8
1380.1,34.3,1681,0.65,forest,fractured_rock,108,0.55,20.0,60.1
646.0,18.4,2424,0.63,settlement,fractured_rock,322,0.15,19.7,66.8
586.6,27.5,1038,0.26,agroforestry,sandstone,990,0.09,16.8,36.1
395.6,18.2,1126,0.57,agroforestry,clay,446,0.66,29.4,49.2
504.9,6.2,965,0.28,forest,fractured_rock,1293,0.23,26.1,52.6
427.5,18.3,1124,0.36,agriculture,weathered_granite,1020,0.71,13.0,47.4
400.3,4.5,565,0.22,barren,shale,96,0.55,26.1,44.5
773.8,15.2,1441,0.85,forest,weathered_granite,689,0.3,26.6,71.7
522.5,5.7,1285,0.6,forest,fractured_rock,944,0.45,20.0,73.5
535.8,21.1,1158,0.42,forest,fractured_rock,1198,0.14,13.1,52.9
666.5,18.3,945,0.34,forest,clay,1346,0.9,32.2,45.3
504.5,8.9,887,0.67,agroforestry,clay,1357,0.57,23.5,48.4
650.4,17.7,1386,0.65,forest,weathered_granite,1135,0.68,9.1,67.4
512.3,21.8,768,0.36,grassland,sandstone,846,0.19,33.9,40.3
433.0,5.6,771,0.65,agriculture,weathered_granite,243,0.2,22.3,49.4
615.2,14.4,1002,0.3,grassland,weathered_granite,798,0.08,32.1,46.4
589.1,21.1,896,0.6,settlement,sandstone,1401,0.29,37.4,41.5
1137.3,14.1,2261,0.73,grassland,fractured_rock,1420,0.09,4.0,68.0
1268.2,33.1,1786,0.84,agriculture,sandstone,419,0.92,15.4,66.6
538.4,19.5,705,0.32,agriculture,weathered_granite,362,0.84,24.7,47.3
